First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,E-mail 2 - Label,E-mail 2 - Value,E-mail 3 - Label,E-mail 3 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Phone 4 - Label,Phone 4 - Value,Phone 5 - Label,Phone 5 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address,Address 2 - Label,Address 2 - Formatted,Address 2 - Street,Address 2 - City,Address 2 - PO Box,Address 2 - Region,Address 2 - Postal Code,Address 2 - Country,Address 2 - Extended Address,Address 3 - Label,Address 3 - Formatted,Address 3 - Street,Address 3 - City,Address 3 - PO Box,Address 3 - Region,Address 3 - Postal Code,Address 3 - Country,Address 3 - Extended Address,Relation 1 - Label,Relation 1 - Value,Relation 2 - Label,Relation 2 - Value,Relation 3 - Label,Relation 3 - Value,Relation 4 - Label,Relation 4 - Value,Relation 5 - Label,Relation 5 - Value,Relation 6 - Label,Relation 6 - Value,Relation 7 - Label,Relation 7 - Value,Website 1 - Label,Website 1 - Value,Event 1 - Label,Event 1 - Value,Event 2 - Label,Event 2 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Custom Field 2 - Label,Custom Field 2 - Value,Custom Field 3 - Label,Custom Field 3 - Value,Custom Field 4 - Label,Custom Field 4 - Value,Custom Field 5 - Label,Custom Field 5 - Value,Custom Field 6 - Label,Custom Field 6 - Value
James,,Sansing,,,,Tallulah Sansing Parent,,,,Wellspring Ed Services,,,,"Authorized to receive Tallulah at after-school drop-off:
Leah Robbins, caregiver / Prescott Sansing, brother / Hollis Sansing, brother Chris Woodruff, Teresa’s partner / Angela Baker, James’s fiancée
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,* Mom,tmastreani@gmail.com,Dad,jameslsansing@gmail.com,,,Dad Mobile,415-233-2547,Teresa Mobile,415-505-3113,,,,,,,Home - Mom,"5 Las Huertas Ct
San Rafael, CA 94903-3927
US",5 Las Huertas Ct,San Rafael,,CA,94903-3927,US,,Home - Dad,"575 W Richmond Ave.
Richmond, CA 94801-3840
US",575 W Richmond Ave.,Richmond,,CA,94801-3840,US,,Wellspring Educations Services,"1543 Sunnyvale Ave
Walnut Creek, CA 94597-1903
US",1543 Sunnyvale Ave,Walnut Creek,,CA,94597-1903,US,,Dad,James Sansing,Mom,Teresa Mastreani,Caregiver,Leah Robbins,Teresa's Partner,Chris Woodruff,Stepmom,Angela Baker,,,,,,,,,,,,,,,,,,,,,,
Jamie,,,,,,,,,,Miles Dad,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+16504388789,,,,,,,,,Home,"36 Marin Avenue.
Marin Ave
Sausalito
United States","36 Marin Avenue.
Marin Ave",Sausalito,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie,,Beckman,,,,,,,,Star Academy,,,,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Dad Mobile,(415) 302-3240,Star Academy,415 521-8578,Administrative Assistant,415 847-4919,,,,,Home,"110 Toyon Dr
Fairfax, CA 94930-2154
US","110 Toyon Dr
Fairfax, CA 94930-2154
US",,,,,,,Star Academy,"4470 Redwood Hwy
San Rafael, CA 94903
US","4470 Redwood Hwy
San Rafael, CA 94903
US",,,,,,,,,,,,,,,,Rider,Siena Beckman,Mom,Trish Beckman,Dad,Jamie Beckman,,,,,,,,,,,,,,,Rider FirstNm,Siena,Rider LastNm,Beckman,Job Title,Siena Beckman Parent,,,,,,
Jamie,,Beckman,,,,Siena Beckman Parent,,,,Star Academy,,,,"Rider_FirstNm: Siena
Rider_LastNm: Beckman
 110 Toyon Drive 
 Fairfax 
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Work Mobile,(415) 302-3240,,,,,,,,,,"110 Toyon Dr
Fairfax, CA 94930-2154
US",110 Toyon Dr,Fairfax,,CA,94930-2154,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie,,Tommys Mom,,,,,,,,,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+17078576685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamilah ,,Jones-McLean,,,,,,,,San Jose Middle,"Program Manager, Special Education",MCOE Autism Classroom,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,* Work,jjonesmclean@marinschools.org,,,,,Main,415-499-5812,,,,,,,,,School,"1000 Sunset Parkway
Novato, Novato Unified School District 94947
USA",1000 Sunset Parkway,Novato,,Novato Unified School District,94947,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Ross Valley School District,,,,,,,,,,
Janaina,,Marques Dias,,,,,,,,Go Happy Transportation,Driver,,1978-08-03,"Driver_FirstNm: Janaina
Driver_MiddleNm: Marques
Driver_LastNm: Dias
Driver_SS#: 993-92-9385
Driver_HmLocation1_Street: 16 Roundtree Bldg 16
HmLocation1_Street2: Apt. 16
Driver_City: San Rafael
Driver_State: CA
Driver_ZIP: 94901
License_Zip_Code: 94901
Driver_Cell: 650-441-5307
Driver_DOB: 8/3/1978
Driver_Age: 46
DL/CDL #: W1351905
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 8/3/2027
Make: Kia
Model: Soul
Color: Green
Plate No: 9JYN016
VIN #: KNDJN2A21E7721590
Registration Expiration Date: 12/8/24
Reg_Vehicle_Owner (Y/N): Y
Auto Insurance Company: Drive Insurance
Policy Number: 967337355
Policy Exp Dates: 3-10-25
",https://lh3.googleusercontent.com/contacts/AG6tpzG_KNqXfEyJkl-GPNOPlZfSBFlEIydahyejhG_imIvgOTdyG2rT,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts,* Other,marquesjanaina966@gmail.com,,,,,Mobile,650-441-5307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,,,,,,,,,,,,,,"Hi Cat, This is the information for my pick up and delivery tomorrow, Tuesday, Aug 9th.
Pick up at 11:30.
207 Paradise Drive, Tiburon.
Delivery: 
1321 South Eliseo Drive, Greenbrae 

I’m assuming the driver waits and takes me home after the appointment.
Can we talk today so I can set up an account? 
Thanks!
Jane",,* myContacts,,,,,,,Main,+15105418365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,,,,,,,,,,Helix Teacher,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+14155695056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,,,,,,,,,,,,,,,,* myContacts,,,,,,,Main,+14158958222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane,,Osterman,,,,,,,,Pipers Mom,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,14252602997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet,,Lewin,,,,,,,,Grant Grover,,,2005-05-06,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom 1 Mobile,415-265-9154,Mom Janet Mobile,415-265-9154,School Office,415 312-6377,Teacher Ruth Jensen,415-499-5872,,,Home,"929 W California Ave
Mill Valley, CA 94941-4449
US","929 W California Ave
Mill Valley, CA 94941-4449
US",,,,,,,Grant Grover School,"730 College Ave
Kentfield, CA 94904-2532
US","730 College Ave
Kentfield, CA 94904-2532
US",,,,,,,,,,,,,,,,Rider,Eliza Brown-Lewin,Mom 1 ,Elizabeth Brown,Mom 2,Janet Lewin,,,,,,,,,,,,,,,Rider FirstNm,Eliza,Rider LastNm,Brown-Lewin,Job Title,Eliza Brown-Lewin Parent,,,,,,
Janet,,Lewin,,,,Eliza Brown-Lewin Parent,,,,Grant Grover,,,,"Rider_FirstNm: Eliza
Rider_LastNm: Brown-Lewin
929 West California Avenue
Mill Valley
94941
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Work Mobile,415-265-9154,,,,,,,,,Home,"929 W California Ave
Mill Valley, CA 94941-4449
US",929 W California Ave,Mill Valley,,CA,94941-4449,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janina,,Pulido,,,,,,,,,,,,,,* myContacts,* Other,jpulido@firstrepublic.com,,,,,Main,(415) 288-7503,Other Fax,(415) 364-4344,,,,,,,Home,"111 Pine Street
San Francisco, CA 94111-5601",111 Pine Street,San Francisco,,CA,94111-5601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason,,Sims,,,,,,,,A Better Chance School,,,,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Dad Mobile,415-272-8600,,415 766-9990,,,,,,,Home,"337 Country Club Dr
Mill Valley, CA 94941-1211
US","337 Country Club Dr
Mill Valley, CA 94941-1211
US",,,,,,,A Better Chance School,"4138 Lakeside Dr
San Pablo, CA 94806-1941
US","4138 Lakeside Dr
San Pablo, CA 94806-1941
US",,,,,,,,,,,,,,,,Rider,Will Sims,Mom,Michelle Sims,Dad,Jason Sims,,,,,,,,,,,,,,,Rider FirstNm,Will,Rider LastNm,Sims,Job Title,Will Sims Parent,,,,,,
Jason,,Sims,,,,Will Sims Parent,,,,Cypress School,,,,"Rider_FirstNm: Will
Rider_LastNm: Sims
337 Country View Drive
Mill Valley
94941
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Work Mobile,415-272-8600,,,,,,,,,Home,"337 Country Club Dr
Mill Valley, CA 94941-1211
US",337 Country Club Dr,Mill Valley,,CA,94941-1211,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay,,,,,,,,,,Will Hairdresser,,,,,,* myContacts,,,,,,,Main,+1 (415) 464-7225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylani,,Jorge Calderon,,,,,,,,,,,,,,GO HAPPY RIDERS ::: * myContacts,,,,,,,,707-596-2996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazmine,,Times,,,,,,,,Compass Academy,,,2013-12-02,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,415-577-6239,School Office,415 695-5765,,,,,,,Home,"US-101
Mill Valley, CA
US","US-101
Mill Valley, CA
US",,,,,,,Compass Academy,"720 Diablo Ave
Novato, CA 94947
US","720 Diablo Ave
Novato, CA 94947
US",,,,,,,Daycare,"730 Drake Ave
Sausalito, CA 94965-1107
US","730 Drake Ave
Sausalito, CA 94965-1107
US",,,,,,,Rider,Brian Spooner,Mom,Jasmine Times,Grandma,LeDonna Spooner,,,,,,,,,,,,,,,Rider FirstNm,Brian,Rider LastNm,Spooner,Job Title,Brian Spooner Parent,,,,,,
Jazmine,,Times,,,,Brian Spooner Parent,,,,Compass Academy,,,,"Rider_FirstNm: Brian
Rider_LastNm: Spooner
115 Hwy #101
Mill Valley
94941
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Work Mobile,415-577-6239,,,,,,,,,,"US-101
Mill Valley, CA
US",US-101,Mill Valley,,CA,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazmyne,,,,,,,,,,,,,,,,* myContacts,,,,,,,Main,+1 (415) 300-6704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean Christope Dad,,,,,,,,,,,,,,,,* myContacts,,,,,,,Main,+15149162098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff,,Kettle,,,,,,,,,,,,,,* myContacts,,,,,,,Main,+18014142135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff,,Lapic,,,,,,,,Archie Williams High School,,,2008-06-29,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Dad Mobile,415-710-7171,Mom Mobile,415-456-6906,School Office,415 458-3400,Teacher Mobile,415-786-6976,,,Home,"224 Picnic Ave
San Rafael, CA 94901-5005
US","224 Picnic Ave
San Rafael, CA 94901-5005
US",,,,,,,Archie Williams High School,"1327 Sir Francis Drake Blvd
San Anselmo, CA 94960
US","1327 Sir Francis Drake Blvd
San Anselmo, CA 94960
US",,,,,,,,,,,,,,,,Rider,Jamie Lapic,Mom,Jessica Lapic,Dad,Jeff Lapic,Teacher,Sonya Carrillo,,,,,,,,,,,,,Rider FirstNm,Jamie,Rider LastNm,Lapic,Job Title,Jamie Lapic Parent,,,,,,
Jeff,,Lapic,,,,Jamie Lapic Parent,,,,Archie Williams High School,,,2008-06-29,"Rider_FirstNm: Jamie
Rider_LastNm: Lapic
224 Picnic Avenue
San Rafael
94901
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Dad Mobile,415-710-7171,Mom Mobile,415-456-6906,Teacher,415-786-6976,,,,,Home,"224 Picnic Ave
San Rafael, CA 94901-5005
US",224 Picnic Ave,San Rafael,,CA,94901-5005,US,,Archie Williams High School,"1327 Sir Francis Drake Blvd
San Anselmo, CA 94960
US",1327 Sir Francis Drake Blvd,San Anselmo,,CA,94960,US,,,,,,,,,,,Mom,Jessica Lapic,Dad,Jeff Lapic,Rider,Jamie Lapic,Teacher,Sonya Carrillo,,,,,,,,,,,,,,,,,,,,,,,,
Jeff,,Sands,,,,,,,,Micah Teacher,,,,,,GO HAPPY ALL ::: * myContacts,* Other,jsand@tamdistrict.org,,,,,Main,415-945-3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff,,Tovar,,,,,,,,,,,,,,* myContacts,,,,,,,Main,+18474176105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson Rodrigo,,Nascimento Rosa,,,,,,,,Go Happy Transportation,Go Happy Driver,,1977-09-23,"Street address line 2: Apt.14
Custom Field 1 - Label: CDL #
Custom Field 1 - Value: W1327772
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 9/23/2027
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 10/6/2025
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94103
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2022
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: MItsubishi 
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Outlander
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Black
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 9SAF321
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: JA4J3VA85NZ026698
",,Imported on 11/24 3 ::: * myContacts,* Other,jeffrodrigo@hotmail.com,,,,,Home,415-846-2294,,,,,,,,,Home,"24 Cowbarn Lane
Novato, CA 94947",24 Cowbarn Lane,Novato,,CA,94947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffery Funk,,,,,,,,,,,,,,,,* myContacts,,,,,,,Mobile,(817) 443-1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jen,,Hugo,,,,,,,,Sebastians Mom,,,,,https://lh3.googleusercontent.com/contacts/AG6tpzEnBMRsGTetge8qrNXx5MED4QN-Uj9kJDVZSoZN4R7o_qPtW-WQ,GO HAPPY ALL ::: * myContacts,,,,,,,Home,+12024123780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer,,,,,,,,,,Eddie Mom,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+14152591524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer,,Andreoli,,,,,,,,Marcos Mom,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+18453920021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer,,Lewis,,,,,,,,Loma Verde Elementary,,,2016-08-31,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,(510) 467-9132,Grandma Mobile,510-918-8978,School Office,415 883-4681,Megan Dunn Cell,415-347-4302,,,Home,"37 San Clemente Dr #205
Corte Madera, CA 94925
US","37 San Clemente Dr #205
Corte Madera, CA 94925
US",,,,,,,Loma Verde Elementary,"399 Alameda De La Loma
Novato, CA 94949
US","399 Alameda De La Loma
Novato, CA 94949
US",,,,,,,,,,,,,,,,Rider,Anthony Reyes,Mom,Jennifer Luis,Dad,Manuel Ramos,Grandmother,Kathleen Luis,,,,,,,,,,,,,Rider FirstNm,Anthony,Rider LastNm,Reyes,Job Title,Anthony Reyes Parent,,,,,,
Jennifer,,Lewis,,,,Anthony Reyes Parent,,,,Loma Verde Elementary,,,2016-08-31,"Rider_FirstNm: Anthony
Rider_LastNm: Reyes
37 San Clemente Drive
205
Corte Madera
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Mom Mobile,(510) 467-9132,Grandma Mobile,510-918-8978,Grandma Home,415-226-1412,School Office,415 883-4681,Megan Dunn Cell,415-347-4302,Home,"37 San Clemente Dr #205
Corte Madera, CA 94925
US",37 San Clemente Dr #205,Corte Madera,,CA,94925,US,,Loma Verde Elementary,"399 Alameda De La Loma
Novato, CA 94949
US",399 Alameda De La Loma,Novato,,CA,94949,US,,,,,,,,,,,Mom,Jennifer Luis,Dad,Manuel Ramos,Grandmother,Kathleen Luis,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer,,Nathanson,,,,,,,,San Domenico to Horse Ranch,,,,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,415-905-0132,,,,,,,,,Home,"8 Pomeroy Rd
Ross, CA 94957-9600
US","8 Pomeroy Rd
Ross, CA 94957-9600
US",,,,,,,,,,,,,,,,,,,,,,,,,Rider,Olivia Nathanson,Mom,Jennifer Nathanson,Dad,Daniel Nathanson,,,,,,,,,,,,,,,Rider FirstNm,Olivia,Rider LastNm,Nathanson,Job Title,Olivia Nathanson Parent,,,,,,
Jennifer,,Nathanson,,,,Olivia Nathanson Parent,,,,San Domenico to Horse Ranch,,,,"Rider_FirstNm: Jack
Rider_LastNm: Nathanson
8 Pomeroy Road
Ross


Rider_FirstNm: Olivia
Rider_LastNm: Nathanson
8 Pomeroy Road
Ross
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Work Mobile,415-905-0132,,,,,,,,,,"8 Pomeroy Rd
Ross, CA 94957-9600
US",8 Pomeroy Rd,Ross,,CA,94957-9600,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer,,Ortiz,,,,,,,,Petaluma City Schools,Administrative Secretary Student Services,District Office,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Office,707-778-4605,,,,,,,,,District Office,"200 Douglas St.
Petaluma
Marin County
94952
USA","200 Douglas St.
Petaluma
Marin County
94952
USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Petaluma City Schools,,,,,,,,,,
Jennifer,,Ramsey,,,,,,,,Mill Valley School District,Executive Assistant: Educational Services,District Office,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,* Work,jramsey@mvschools.org,,,,,Office,415-389-7754,,,,,,,,,District Office,"411 Sycamore Avenue
Mill Valley, Marin County 94941
USA",411 Sycamore Avenue,Mill Valley,,Marin County,94941,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Mill Valley School District,,,,,,,,,,
Jennifer,,Raumer,,,,,,,,JR Designs,Stager,,,,,* myContacts,* Other,jrdesignhouse@gmail.com,,,,,Mobile,(707) 631-6612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeong,,Sun,,,,,,,,Hamilton School TK - 8,,,,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,310 849 1659,School Office,415-883-4691 ::: 415 883-4691,Teacher - Stephany,415-720-0626,,,,,Home,"360 Channing Way
#24, San Rafael, CA 94903
US","360 Channing Way
#24, San Rafael, CA 94903
US",,,,,,,Hamilton Elementary School,"5530 Nave Dr
Novato, CA 94949
US","5530 Nave Dr
Novato, CA 94949
US",,,,,,,,,,,,,,,,Rider,Daniel Lee,Mom,Onelia Luna,Dad,David Luna,,,,,,,,,,,,,,,Rider FirstNm,Daniel Lee,Rider LastNm,Lee,Job Title,Daniel Lee Parent,,,,,,
Jeong,,Sun,,,,Daniel Lee Parent,,,,Hamilton School TK - 8,,,,"Rider_FirstNm: Daniel
Rider_LastNm: Lee
360 Channing Way
24
San Rafael
94949
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Mom Mobile,310 849 1659,School Office,415-883-4691,,,,,,,Home,"360 Channing Way
#24, San Rafael, CA 94903
US",360 Channing Way,San Rafael,,CA,94903,US,#24,Hamilton Elementary School,"5530 Nave Dr
Novato, CA 94949
US",5530 Nave Dr,Novato,,CA,94949,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome,,Sims,,,,,,,,Go Happy Transportation,Go Happy Driver,,1957-03-30,"Custom Field 1 - Label: CDL #
Custom Field 1 - Value: N9992186
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 3/30/2029
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 8/1/2021
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94973
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2005
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Subaru
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Legacy
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Golden
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 5LZP946
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: 4S4BP61C857346792
",,Imported on 11/24 3 ::: * myContacts,* Other,jeromebsims@gmail.com,,,,,Home,415-299-1211,,,,,,,,,Home,"114 Taylor Drive
Fairfax, CA 94973",114 Taylor Drive,Fairfax,,CA,94973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome,,Sims,,,,,,,,Go Happy Transportation,Driver,,,"Driver_FirstNm: Jerome
Driver_LastNm: Sims
Driver_SS#: 611-01-4541
Driver_HmLocation1_Street: 114 Taylor Drive
Driver_City: Fairfax
Driver_State: CA
Driver_ZIP: 94973
License_Zip_Code: 94973
Driver_Cell: 415-299-1211
Driver_DOB: 3/30/1957
Driver_Age: 67
DL/CDL #: N9992186
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 3/30/2029
Make: Subaru
Model: Legacy
Color: Golden
Plate No: 5LZP946
VIN #: 4S4BP61C857346792
Registration Expiration Date: 1/24/25
Reg_Vehicle_Owner (Y/N): Y
Auto Insurance Company: AAA
Policy Number: CAAS13196508
Policy Exp Dates: 10-21-25
",,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts,* ,jeromebsims@gmail.com,,,,,Mobile,(415) 299-1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica,,Kissane,,,,,,,,Archie Williams High School,,,2008-09-22,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,* Mom Email,jess.jason@mac.com,Dad Email,jasonkissane@yahoo.com,,,Mom Mobile,727-244-5377,Dad Mobile,415-595-3022,School Office,415 458-3400,Teacher Mobile,415-458-3408,,,Home,"53 Poplar Ave
Ross, CA 94957-9674
US","53 Poplar Ave
Ross, CA 94957-9674
US",,,,,,,,,,,,,,,,,,,,,,,,,Rider,Cassidy Kissane,Mom,Jessica Kissane,Dad,Robert Kissane,Teacher,Alison Leist,,,,,,,,,,,,,Rider FirstNm,Cassidy,Rider LastNm,Kissane,Job Title,Cassidy Kissane Parent,,,,,,
Jessica,,Kissane,,,,Cassidy Kissane Parent,,,,Archie Williams High School,,,2008-09-22,,,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,* Mom Email,jess.jason@mac.com,Dad Email,jasonkissane@yahoo.com,,,Mom Mobile,727-244-5377,Dad Mobile,415-595-3022,Teacher Mobile,415-458-3408,,,,,Home,"53 Poplar Ave
Ross, CA 94957-9674
US",53 Poplar Ave,Ross,,CA,94957-9674,US,,,,,,,,,,,,,,,,,,,,Mom,Jessica Kissane,Dad,Robert Kissane,Teacher,Alison Leist,Counselor,KYLE KASSEBAUM,,,,,,,,,,,,,,,,,,,,,,,,
